h,k,l,d(Angstrom),F(real),F(imag),|F|,2Theta,I,M,ID(lambda),Phase
3,1,0,0.950438, -52.982742,-17.068174,55.6641,08.28274,  1.25751,12,    1,    1
3,1,0,0.950438, -52.943076,-17.130840,55.6456,08.66760,  0.63054,12,    2,    1
2,2,2,0.941545, -89.877992,-32.529056,95.5834,09.79401,  3.76167,12,    1,    1
2,2,2,0.941545, -89.801109,-32.648332,95.5518,10.18982,  1.88725,12,    2,    1
3,1,1,0.939244,  90.394273, 29.221702,95.0002,10.19431,  7.46245,24,    1,    1
3,1,1,0.939244,  90.326409, 29.328996,94.9687,10.59309,  3.74453,24,    2,    1
3,0,4,0.916285,  96.665411, 28.623086,100.814,14.42251,  4.42077,12,    1,    1
3,0,4,0.916285,  96.600143, 28.728327,100.781,14.85460,  2.22205,12,    2,    1
1,1,6,0.908715, -56.222148,-21.825286,60.3098,15.91981,  1.61570,12,    1,    1
3,1,2,0.907897,  49.039794, 16.274007,51.6696,16.08480,  2.37755,24,    1,    1
1,1,6,0.908715, -56.170213,-21.905271,60.2904,16.36464,  0.81262,12,    2,    1
3,1,2,0.907897,  49.001977, 16.333757,51.6525,16.53106,  1.19586,24,    2,    1
2,1,5,0.890994, -67.259331,-22.034414,70.7766,19.65963,  4.72037,24,    1,    1
2,1,5,0.890994, -67.208349,-22.115341,70.7534,20.13876,  2.37801,24,    2,    1
2,0,6,0.878357,  32.446895, 10.943698,34.2427,22.55892,  0.58171,12,    1,    1
2,0,6,0.878357,  32.421492, 10.983881,34.2315,23.06746,  0.29345,12,    2,    1
3,1,3,0.861974, -75.982881,-26.492941,80.4691,26.66922,  6.96942,24,    1,    1
3,1,3,0.861974, -75.921177,-26.590194,80.4429,27.22452,  3.52347,24,    2,    1
4,0,0,0.856716, -48.759802,-16.851552,51.5897,28.08719,  0.73813, 6,    1,    1
4,0,0,0.856716, -48.720639,-16.913423,51.5729,28.66025,  0.37348, 6,    2,    1
