#Thorlabs FTS
[SpectrumHeader]
#Date;20250722
#Time;11452010
#GMTTime;16452010
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;50
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;15.000000
#TriggerMode;0
#InterferometerSerial;M00454521
#Source;
#AirMeasureOpt;0
#WnrMin;13463.064453
#WnrMax;31093.257813
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;
#Comment;""
[Data]
3.216131287e+02;7.855044096e-04
3.217207947e+02;2.132877125e-04
3.218284607e+02;7.563914987e-04
3.219361267e+02;5.843343679e-04
3.220438232e+02;7.452291902e-04
3.221515198e+02;2.914261131e-04
3.222592163e+02;8.084375877e-04
3.223669434e+02;3.966545919e-04
3.224746399e+02;9.160942282e-04
3.225823669e+02;3.283967089e-04
3.226900940e+02;1.069212216e-03
3.227978210e+02;4.282066948e-04
3.229055786e+02;9.221875225e-04
3.230133362e+02;2.713157446e-04
3.231210938e+02;8.423055406e-04
3.232288513e+02;3.026774502e-04
3.233366089e+02;8.994926466e-04
3.234443970e+02;5.218540900e-04
3.235521851e+02;8.772045258e-04
3.236599731e+02;5.826549605e-04
3.237677612e+02;1.008739928e-03
3.238755798e+02;7.041900535e-04
3.239833984e+02;1.207957743e-03
3.240912170e+02;3.825885651e-04
3.241990356e+02;9.900460718e-04
3.243068542e+02;7.295054966e-04
3.244147034e+02;1.169052324e-03
3.245225525e+02;8.387067937e-04
3.246304016e+02;1.221406739e-03
3.247382813e+02;6.834868691e-04
3.248461304e+02;1.024098950e-03
3.249540100e+02;5.140488502e-04
3.250618896e+02;1.367038698e-03
3.251697998e+02;6.874094252e-04
3.252776794e+02;1.050848397e-03
3.253855896e+02;7.464931114e-04
3.254934998e+02;1.352967112e-03
3.256014099e+02;9.100595489e-04
3.257093201e+02;1.331887092e-03
3.258172607e+02;6.124111242e-04
3.259252014e+02;1.450061915e-03
3.260331421e+02;9.751943289e-04
3.261410828e+02;1.200093771e-03
3.262490540e+02;8.680741303e-04
3.263570251e+02;1.126043731e-03
3.264649963e+02;8.328848053e-04
3.265729675e+02;1.259830082e-03
3.266809387e+02;8.004741976e-04
3.267889404e+02;1.380135654e-03
3.268969421e+02;1.099527581e-03
3.270049438e+02;1.518163248e-03
3.271129761e+02;9.458114509e-04
3.272209778e+02;1.374285901e-03
3.273290100e+02;1.246387605e-03
3.274370422e+02;1.681267167e-03
3.275450745e+02;1.001414377e-03
3.276531372e+02;1.657932648e-03
3.277611694e+02;9.626402752e-04
3.278692322e+02;1.440712949e-03
3.279772949e+02;1.218280173e-03
3.280853882e+02;1.603421522e-03
3.281934509e+02;1.418236643e-03
3.283015442e+02;1.636279165e-03
3.284096375e+02;1.036690199e-03
3.285177612e+02;1.530892798e-03
3.286258545e+02;1.493907999e-03
3.287339783e+02;1.861571684e-03
3.288421021e+02;8.634436526e-04
3.289502258e+02;1.662760158e-03
3.290583496e+02;1.086315955e-03
3.291665039e+02;1.855615876e-03
3.292746582e+02;1.345389872e-03
3.293828125e+02;1.603680779e-03
3.294909668e+02;1.368672936e-03
3.295991516e+02;1.954867272e-03
3.297073059e+02;1.306970487e-03
3.298154907e+02;2.240512287e-03
3.299237061e+02;1.235520467e-03
3.300318909e+02;1.713220146e-03
3.301401062e+02;1.468965202e-03
3.302482910e+02;1.932730782e-03
3.303565369e+02;1.456271391e-03
3.304647522e+02;1.881592558e-03
3.305729675e+02;1.505537424e-03
3.306812134e+02;1.897081849e-03
3.307894592e+02;1.839226461e-03
3.308977051e+02;2.164423233e-03
3.310059814e+02;1.418886124e-03
3.311142273e+02;2.136707306e-03
3.312225037e+02;1.720552566e-03
3.313307800e+02;2.002610127e-03
3.314390869e+02;1.680458197e-03
3.315473633e+02;2.282126108e-03
3.316556702e+02;1.774543314e-03
3.317639771e+02;2.037950791e-03
3.318722839e+02;1.741525484e-03
3.319805908e+02;2.149880631e-03
3.320889282e+02;1.715476043e-03
3.321972656e+02;2.097189426e-03
3.323056030e+02;1.578722615e-03
3.324139404e+02;2.293103607e-03
3.325223083e+02;1.756078098e-03
3.326306458e+02;2.267827047e-03
3.327390137e+02;2.020606538e-03
3.328474121e+02;2.505741082e-03
3.329557800e+02;1.909518498e-03
3.330641785e+02;2.577880630e-03
3.331725464e+02;2.146170009e-03
3.332809753e+02;2.564415801e-03
3.333893738e+02;1.917141024e-03
3.334977722e+02;2.545697615e-03
3.336062012e+02;2.083405619e-03
3.337146301e+02;2.551643178e-03
3.338230591e+02;2.133819973e-03
3.339315186e+02;2.762040822e-03
3.340399475e+02;2.265709685e-03
3.341484070e+02;2.559126820e-03
3.342568665e+02;2.142506419e-03
3.343653259e+02;2.711276989e-03
3.344738159e+02;2.581379842e-03
3.345823059e+02;2.992762253e-03
3.346907654e+02;2.158912597e-03
3.347992859e+02;2.795013366e-03
3.349077759e+02;2.420255449e-03
3.350162964e+02;2.952694893e-03
3.351247864e+02;2.607443603e-03
3.352333069e+02;3.075266024e-03
3.353418579e+02;2.641023137e-03
3.354503784e+02;3.138450906e-03
3.355589294e+02;2.610998461e-03
3.356674805e+02;3.313917667e-03
3.357760315e+02;2.666531829e-03
3.358845825e+02;3.210025840e-03
3.359931641e+02;2.658281941e-03
3.361017456e+02;3.175089834e-03
3.362103271e+02;2.754932502e-03
3.363189087e+02;3.363832831e-03
